term ,acronym,definition,reference,alternative_definition,reference_alternative_definition,status,comment,glossary_reporting,glossary_observers,glossary_TRUEs,glossary_compliance,glossary_science,glossary_mse,glossary_EM,glossary_LL,glossary_PS,glossary_PL,glossary_GN
Ecosystem,,"A complex of plant, animal and microorganism communities that, together with the non-living components, interact to maintain a functional unit",IOTC science glossary,,,,,,,,,,,,,,,
Effort,,A measure of the resources used to harvest a fishery's stock. The measure of effort appropriate for a fishery depends on the methods used and the management arrangements. Common measures include the number of vessels,IOTC science glossary,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Effort creep,,"An increase in the efficiency of fishing effort through time. This usually comes about through changes to fishing
gear or how fishing is undertaken.",IOTC science glossary,,,,,,,,,,,,,,,
Effort restriction,,"Restriction of the permitted amount of fishing effort (e.g. number of days fished) in a particular fishery; used
as a management tool.",IOTC science glossary,,,,,,,,,,,,,,,
Electronic compass,,A navigational instrument that determines and displays a vessel's heading using electronic sensors rather than a magnetic needle,IMO termonology,,,,,TRUE,TRUE,,,,,TRUE,,,,
Electronic monitoring*,EM,The use of electronic devices to record fishing vessels' activities using video technology linked to a Global Position System (GPS),EM workshop Marua 2025-IOTC term (well aligned),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring analysis,,The review of EM records by EM observers/reviewers to produce EM data,EM workshop Marua 2025-IOTC term (well aligned),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring analyst,,EM Reviewer/Observer  -- a person qualified to review EM records,EM workshop Marua 2025-IOTC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring certifier,,An individual or organisation which has been approved by the appropriate authority to inspect and approve EM systems for use,EM workshop-WCPFC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring coverage*,,Split into three: EM Installation Coverage -- the proportion of vessels by fleet that has EM equipment installed that is operational EM Record Coverage -- the proportion of fishing effort for which EM records are collected by installed EM equipment EM Observer/Review Coverage -- the proportion of fishing effort for which EM records are reviewed to produce EM data and submitted to the IOTC,EM workshop,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring coverage*,,The proportion of vessels or fishing effort that are recorded by the EM Program. Note that this definition not analogous to the commonly used definition of observer coverage. The analogous quantity can be determined by multiplying the EM coverage rate by the EM analysis rate,EM workshop-WPCFC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring data,,Processed/analysed data produced through review of EM records that conforms with the EM data standards,EM workshop-IOTC (Well-aligned),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring data standards,,The agreed subset of data requirements by the IOTC Regional Observer Scheme (ROS) that could be collected by the EMS,EM workshop-IOTC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring equipment,,A network of electronic cameras,EM workshop-IOTC term (well aligned),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring installation coverage,,"The proportion of vessels by fleet that has EM equipment installed that is operational,Electronic monitoring installation coverage",IOTC Resolution 23/08,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring observer/reviewer coverage,,The proportion of fishing effort for which EM records are reviewed to produce EM data and submitted to the IOTC,IOTC Resolution 23/08,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring observer/reviewer,,A person qualified to review EM records,IOTC Resolution 23/08,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring process*,,** recommendation from EM workshop to use this instead of EM system,,,,To define - Would remove this as not common,** recommendation from EM workshop to use this instead of EM system,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring program (Electronic monitoring system program),,A process administered by a national or regional administration that regulates the use of EMS on vessel to collect and verify fisheries data and information responsible throgh an implementation of an EMS in a defined area and/or fishery,EM workshop Marua2025-IOTC (but change term),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring records,,Electronic data (footage and other information such as ancillary data and metadata) captured during a fishing trip,EM workshop,"Imagery, and possibly sensor, raw data linked to positional data collected by an EM equipment that can be reviewed to produce EM data.",,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring record coverage,,The proportion of fishing effort for which EM records are collected by installed EM equipment,Resolution 23/08,"The percentage of total fishing effort (trips/events) for which EM records are available,Electronic monitoring record coverage",,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring review centre,,A designated facility responsible for reviewing and analyzing EM records,EM workshop-IOTC term,,,To define,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring review provider,,A third-party provider of EM review services to review EM records to produce EM data. The same third-party organisation can provide both the EM equipment and EM review services but they can also be supplied by different providers,EM workshop-IOTC term,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Electronic monitoring review rate,,The proportion of EM records that are analysed to produce EM data, but this one is aligned with WCPFC),,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
